district,total_population,secondary_school_students,primary_school_students,primary_mean,primary_median,primary_q1,primary_q3,primary_std,primary_iqr,secondary_mean,secondary_median,secondary_q1,secondary_q3,secondary_std,secondary_iqr,diff_mean,diff_median,diff_q1,diff_q3,diff_std,diff_iqr
Sarawak,2454432,208426,230757,2.8919111112504794,1.6481,0.8139,3.131,4.75611810162324,2.3171,8.615927215447718,3.381,1.8075999999999999,7.7823,15.522373184758957,5.9747,5.724016104197238,1.7328999999999999,0.9936999999999999,4.651300000000001,10.766255083135716,3.6576000000000004
Asajaya,33903,3300,3599,1.1502368713531537,0.7791,0.4382,1.3576,1.045535586920339,0.9194,3.5777008787878786,3.2829,1.595,4.3706000000000005,2.3790051153095333,2.7756000000000007,2.427464007434725,2.5038,1.1568,3.013000000000001,1.3334695283891942,1.8562000000000007
Bau,52596,4472,4380,1.6796117188469035,1.4549,0.7487,2.1533,1.2500796097379143,1.4046000000000003,7.7261008273703045,6.1933,3.0754,10.739,5.796651350502419,7.663600000000001,6.046489108523401,4.7383999999999995,2.3267,8.585700000000001,4.546571740764504,6.259
Belaga,22301,2139,2160,9.258241231343286,3.6939,1.136,9.6091,17.71163017994993,8.4731,22.22469853980217,5.252800000000001,1.8099,31.477,36.34096631351887,29.6671,12.966457308458883,1.5589000000000004,0.6739000000000002,21.8679,18.62933613356894,21.194000000000003
Beluru,28909,2882,2987,7.167714864412454,2.8719,0.45630000000000004,12.597700000000001,9.11600450662905,12.1414,16.232703504510756,14.5255,8.955200000000001,20.2735,13.218501807982053,11.318299999999997,9.064988640098303,11.653599999999999,8.4989,7.675799999999997,4.102497301353003,-0.8231000000000037
Betong,36288,3105,3236,2.8409737105345423,1.287,0.6267999999999999,2.5623,4.327141496759583,1.9355000000000002,7.74020687296417,2.5638,1.4610999999999998,12.6401,8.648812752531612,11.179,4.899233162429628,1.2768000000000002,0.8342999999999999,10.0778,4.321671255772029,9.243500000000001
Bintulu,178505,15814,18656,4.069525322969714,2.6942,1.6644,4.9731000000000005,4.070672341827358,3.3087000000000004,7.26169633213179,3.5445,2.4364,5.9536999999999995,11.836908955747942,3.5172999999999996,3.1921710091620765,0.8503000000000003,0.7719999999999998,0.980599999999999,7.766236613920585,0.20859999999999923
Bukit Mabong,9882,593,1144,8.016535599699832,3.5154,0.5234,7.3496999999999995,16.13744343907873,6.8263,44.743771507352946,35.6707,24.2484,48.241,36.160368778077974,23.9926,36.72723590765311,32.1553,23.725,40.8913,20.022925338999244,17.1663
Dalat,21303,1862,1986,1.4455021408803455,0.6792,0.39139999999999997,1.6256,2.029052500778537,1.2342,10.779499248120302,5.5698,1.7782,9.040700000000001,17.71873666658927,7.262500000000001,9.333997107239957,4.8906,1.3868,7.415100000000001,15.689684165810732,6.0283000000000015
Daro,19602,1720,2283,1.156968084173608,0.8811,0.4933,1.1211,1.747807411001569,0.6277999999999999,9.856185320417287,2.6881999999999997,1.5983,21.0,9.88412768639546,19.401699999999998,8.69921723624368,1.8070999999999997,1.105,19.8789,8.136320275393892,18.773899999999998
Julau,15310,1405,1557,4.128275,3.6611,1.3079,4.849,3.6623253083341707,3.5411,19.933241789940826,10.8188,1.2410999999999999,30.0267,22.509451026167753,28.785600000000002,15.804966789940826,7.1577,-0.06680000000000019,25.1777,18.84712571783358,25.244500000000002
Kabong,18701,1547,1735,2.5916496829971183,1.0913,0.3713,3.0067,3.867355608308682,2.6353999999999997,11.952194376212022,8.800600000000001,3.5765,19.989900000000002,9.81483398886729,16.413400000000003,9.360544693214903,7.709300000000001,3.2051999999999996,16.983200000000004,5.947478380558609,13.778000000000002
Kanowit,24610,2270,2570,2.536227368482027,1.8676,0.8002,3.3003,2.892148850184469,2.5000999999999998,9.660076175406871,6.9074,2.0554,14.8412,9.410663565484482,12.7858,7.123848806924844,5.0398,1.2552,11.5409,6.518514715300013,10.2857
Kapit,36091,3624,4145,2.8771263549686434,1.6085,0.9446,2.6656,5.5338505535437985,1.721,11.831987557077625,2.5689,1.332,5.2206,28.250546105989077,3.8886000000000003,8.954861202108981,0.9604000000000001,0.3874000000000001,2.555,22.71669555244528,2.1676
Kuching,609189,50117,55263,1.8314095292315502,1.5017,0.8719,2.4209,1.3479299219983074,1.549,3.190589664670659,2.693,1.4686,4.0991,2.540765565565277,2.6305,1.3591801354391089,1.1913,0.5966999999999999,1.6782,1.1928356435669698,1.0815000000000001
Lawas,36695,3389,4017,1.881184490913617,1.1581,0.6859,2.2158,2.04020643816918,1.5299000000000003,15.948829654765419,5.0344,2.1784,13.4584,32.515631951213976,11.28,14.067645163851802,3.8762999999999996,1.4925,11.2426,30.475425513044797,9.7501
Limbang,45010,4135,4794,2.9901283047573837,1.2010999999999998,0.5448,2.9795,6.385669121687813,2.4347,11.057604026194518,3.568,2.764,12.332600000000001,16.548467020867683,9.568600000000002,8.067475721437134,2.3669000000000002,2.2192,9.353100000000001,10.162797899179871,7.133900000000002
Lubok Antu,24305,1833,2094,3.4627640927668977,1.5933,0.6195,5.0644,4.245287185909479,4.4449,14.144467400881057,9.867299999999998,3.8685,17.5341,16.43303350100321,13.665599999999998,10.681703308114159,8.274,3.249,12.4697,12.18774631509373,9.220699999999997
