district,boat_primary,car_primary,foot_primary,no_route_primary,boat_secondary,car_secondary,foot_secondary,no_route_secondary
Asajaya,,2338.0,1261.0,,5.0,3137.0,158.0,
Bau,,3935.0,445.0,,,4295.0,177.0,
Belaga,31.0,1831.0,282.0,16.0,128.0,1761.0,234.0,16.0
Beluru,31.0,2138.0,818.0,,9.0,2797.0,76.0,
Betong,7.0,2686.0,506.0,37.0,103.0,2888.0,79.0,35.0
Bintulu,,17748.0,907.0,1.0,,15365.0,448.0,1.0
Bukit Mabong,439.0,401.0,245.0,59.0,258.0,286.0,,49.0
Dalat,76.0,1105.0,805.0,,126.0,1736.0,,
Daro,18.0,1583.0,680.0,2.0,27.0,1269.0,46.0,378.0
Julau,74.0,1271.0,171.0,41.0,59.0,1050.0,243.0,53.0
Kabong,5.0,1180.0,550.0,,10.0,1529.0,8.0,
Kanowit,122.0,2053.0,351.0,44.0,164.0,1932.0,116.0,58.0
Kapit,256.0,3041.0,787.0,61.0,470.0,2901.0,133.0,120.0
Kuching,2.0,49957.0,5304.0,,34.0,47936.0,2130.0,17.0
Lawas,8.0,3364.0,645.0,,,3255.0,134.0,
Limbang,79.0,3925.0,790.0,,106.0,3869.0,148.0,12.0
Lubok Antu,56.0,1660.0,366.0,12.0,86.0,1703.0,27.0,17.0
Lundu,15.0,2921.0,424.0,,,2870.0,11.0,
Marudi,47.0,1413.0,579.0,,170.0,1785.0,,4.0
Matu,101.0,1076.0,325.0,,203.0,1013.0,21.0,
Meradong,18.0,1951.0,205.0,,158.0,1433.0,206.0,
Miri,2.0,19511.0,2148.0,3.0,19.0,18972.0,1100.0,3.0
Mukah,39.0,3245.0,606.0,8.0,36.0,3249.0,67.0,7.0
Pakan,32.0,1201.0,192.0,18.0,16.0,1270.0,,16.0
Pusa,,1841.0,856.0,,,1816.0,183.0,
Samarahan,,10966.0,308.0,,,12561.0,,
Saratok,1.0,1484.0,260.0,,53.0,1422.0,193.0,1.0
Sarikei,7.0,3756.0,430.0,,210.0,3320.0,429.0,
Sebauh,226.0,2060.0,323.0,27.0,230.0,1486.0,15.0,19.0
Selangau,58.0,1506.0,252.0,31.0,26.0,1463.0,,52.0
Serian,,6655.0,1140.0,2.0,6.0,7026.0,305.0,2.0
Sibu,59.0,18494.0,3577.0,,53.0,18722.0,1687.0,
Simunjan,4.0,2415.0,998.0,,19.0,2977.0,98.0,0.0
Song,158.0,737.0,162.0,25.0,172.0,631.0,43.0,29.0
Sri Aman,22.0,4516.0,810.0,,21.0,3992.0,291.0,39.0
Subis,39.0,4513.0,408.0,22.0,11.0,4144.0,159.0,19.0
Tanjung Manis,,576.0,143.0,,4.0,413.0,13.0,106.0
Tatau,176.0,2240.0,1131.0,40.0,355.0,1906.0,250.0,30.0
Tebedu,,2007.0,514.0,,,2471.0,129.0,
Telang Usan,259.0,1077.0,722.0,38.0,510.0,1259.0,183.0,36.0
Sarawak,2467.0,196377.0,31426.0,487.0,3857.0,193910.0,9540.0,1119.0
