TAHUN LULUS,PERUNTUKAN,NEGERI,PARLIMEN,KOD SEKOLAH,NAMA PROJEK,STATUS,% JADUAL **,% SEBENAR **
2019,KRITIKAL,SARAWAK,SIBUTI,YBA4411,"SEKOLAH KRITIKAL BAGI SABAH DAN SARAWAK - CADANGAN PEMBINAAN BANGUNAN GANTIAN PENUH BILIK DARJAH, BANGUNAN PENTADBIRAN, MAKMAL, RUMAH GURU DAN KEMUDAHAN LAIN DI SK KAMPUNG SELANYAU, SUBIS, SARAWAK",BINA,100,97
2019,RM1B,SARAWAK,BARAM,YBA4304,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK 1 BILION (FASA 1) - SK LONG PELUTAN, BARAM, SARAWAK",BINA,100,100
2019,RM1B,SARAWAK,KAPIT,YBB7123,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK 1 BILION (FASA 1) - SK KG BARU, KAPIT, SARAWAK",BINA,100,93
2019,RMK,SARAWAK,MIRI,YBE4104,SEKOLAH KEBANGSAAN SAYED OTHMAN,BINA,14,11
2019,RMK,SARAWAK,TANJONG MANIS,YBB6413,SEKOLAH KEBANGSAAN KG PENIBONG,BINA,100,50
2020,RM1B,SARAWAK,BARAM,YBB4358,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK RM1BILION (FASA 2) - SK SG BAKAS, MIRI, SARAWAK",BINA,88,98
2020,RM1B,SARAWAK,BINTULU,YBB4339,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK RM1BILION (FASA 2) - SK SG. SEBATU, MIRI, SARAWAK",BINA,20,21
2020,RM1B,SARAWAK,IGAN,YBB6405,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK RM1BILION (FASA 2) - SK KG PERGAU, MUKAH, SARAWAK",BINA,20,0
2020,RM1B,SARAWAK,IGAN,YBB6409,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK RM1BILION (FASA 2) - SK BAWANG TIAN, MUKAH, SARAWAK",BINA,35,67
2020,RM1B,SARAWAK,IGAN,YBE6405,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK RM1BILION (FASA 2) - SK KG TEBAANG, MUKAH, SARAWAK",BINA,100,100
2020,RM1B,SARAWAK,KAPIT,YBB7119,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK RM1BILION (FASA 2) - SK LEPONG BALLEH,  KAPIT, SARAWAK",BINA,80,94
2020,RM1B,SARAWAK,SANTUBONG,YBB1406,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK RM1BILION (FASA 2) - SK LEBAI MENTALI, KUCHING, SARAWAK",BINA,100,93
2020,RM1B,SARAWAK,SIBUTI,YBA4417,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK RM1BILION (FASA 2) - SK KELURU TENGAH, MIRI, SARAWAK",BINA,68,84
2020,RM1B,SARAWAK,TANJONG MANIS,YBA6101,"PEMBANGUNAN SEMULA SEKOLAH DAIF SARAWAK RM1BILION (FASA 2) - SK ABANG BUYUK, MUKAH, SARAWAK",BINA,36,0
2020,RMK,SABAH,BEAUFORT,XBA6326,"DAIF SABAH (2020) - PEMBINAAN BANGUNAN GANTIAN BLOK PENTADBIRAN, PRASEKOLAH, 2 UNIT RUMAH GURU, 2 UNIT TANDAS GURU DAN LAIN-LAIN KEMUDAHAN BERKAITAN DI SK TEMPURONG, KUALA PENYU, SABAH (XBA6326)",BINA,32,37
2020,RMK,SABAH,KALABAKAN,XBA3009,"DAIF SABAH (2020)- GANTIAN 32 UNIT BILIK DARJAH,BANGUNAN PENTADBIRAN DAN MAKMAL SAINS DI SK UMAS-UMAS, SABAH",BINA,70,53
2020,RMK,SABAH,KENINGAU,XBA1208,"DAIF SABAH (2020) - PEMBINAAN BANGUNAN GANTIAN  6 BILIK DARJAH, BLOK PENTADBIRAN, BILIK SAINS, KANTIN, 4 UNIT TANDAS, 2 UNIT RUMAH GURU DAN LAIN-LAIN KEMUDAHAN DI SK MONSOK TENGAH, TAMBUNAN, SABAH (XBA1208)",BINA,82,15
2020,RMK,SABAH,KENINGAU,XBA1209,"DAIF SABAH (2020)-PEMBINAAN BANGUNAN GANTIAN 6 BILIK DARJAH, BLOK PENTADBIRAN, BILIK SAINS, KANTIN, 6 UNIT TANDAS DAN LAIN-LAIN KEMUDAHAN BERKAITAN DI SK NUKAKATAN, TAMBUNAN, SABAH (XBA1209)",BINA,69,24
2020,RMK,SABAH,KIMANIS,XRA4001,"DAIF SABAH (2020) – PEMBINAAN SEMULA KUARTERS GURU 25 UNIT DI SMKA KIMANIS, PAPAR, SABAH (XRA4001)",BINA,5,1
2020,RMK,SABAH,KUDAT,XBA5207,"DAIF SABAH (2020) - PEMBINAAN BANGUNAN GANTIAN  6 BILIK DARJAH, BLOK PENTADBIRAN, BILIK SAINS, KANTIN, 6 UNIT TANDAS, ASRAMA 120 MURID (60 LELAKI & 60 PEREMPUAN), DEWAN MAKAN ASRAMA DAN LAIN-LAIN KEMUDAHAN BERKAITAN DI SK MALUBANG, PITAS, SABAH  (XBA5207)",BINA,92,82
2020,RMK,SABAH,KUDAT,XBA5223,"DAIF SABAH (2020) - PEMBINAAN BANGUNAN GANTIAN  6 BILIK DARJAH, 1 UNIT PRASEKOLAH, BLOK PENTADBIRAN, BILIK SAINS, 6 UNIT TANDAS,  KANTIN DAN LAIN-LAIN KEMUDAHAN BERKAITAN DI SK MANDURIAN, PITAS, SABAH (XBA5223)",BINA,94,72
2020,RMK,SABAH,KUDAT,XBA5224,"DAIF SABAH (2020) - PEMBINAAN BANGUNAN GANTIAN  6 BILIK DARJAH, BLOK PENTADBIRAN, BILIK SAINS, KANTIN, 2 UNIT RUMAH GURU, 6 UNIT TANDAS DAN LAIN-LAIN KEMUDAHAN BERKAITAN DI SK KIBUBUK/SAHABAT SATU, PITAS, SABAH (XBA5224)",BINA,98,85
2020,RMK,SABAH,KUDAT,XEA5001,"DAIF SABAH (2020) - PEMBAIKAN STRUKTUR DAN LAIN-LAIN YANG BERKAITAN DI SMK KUDAT, KUDAT, SABAH",BINA,100,92
