id,ppd,jenis_sekolah,kod_sekolah,nama_sekolah,alamat,poskod,bandar,no_telefon,no_faks,emel,lokasi,kerajaan/bantuan/swasta,bil_murid,bil_guru,x,y,primary_secondary,district,parlimen,dun
1,PPD BARAM,SJKC,YCC4302,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",85755843,85755843,YCC4302@moe.edu.my,Luar Bandar,SBK,146,16,114.323827,4.179582,Primary,Marudi,P.220 Baram,N.76 Marudi
2,PPD BARAM,SJKC,YCC4305,SEKOLAH JENIS KEBANGSAAN (CINA) HUA NAM,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YCC4305@moe.edu.my,Luar Bandar,SBK,74,11,114.348339,4.129354,Primary,Marudi,P.220 Baram,N.78 Mulu
3,PPD BARAM,SJKC,YCC4303,SEKOLAH JENIS KEBANGSAAN (CINA) KEE TEE,D/A PEJABAT PENDIDIKAN DAERAH MARUDI,98050,MARUDI,85771270,85771270,YCC4303@moe.edu.my,Luar Bandar,SBK,96,13,114.404446,3.762385,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
4,PPD BARAM,SJKC,YBC4302,SEKOLAH JENIS KEBANGSAAN SUNGAI JAONG MARUDI,P.O.BOX 61,98050,"MARUDI, BARAM",85755219,85756931,YBC4302@moe.edu.my,Luar Bandar,SK,209,26,114.3331734,4.182942,Primary,Marudi,P.220 Baram,N.78 Mulu
5,PPD BARAM,SK,YBB4331,SEKOLAH KEBANGSAAN BARIO,DATARAN TINGGI KELABIT BARIO,98050,MARUDI,145995993,TIADA,YBB4331@moe.edu.my,Luar Bandar,SK,96,14,115.454373,3.748954,Primary,Miri,P.220 Baram,N.78 Mulu
6,PPD BARAM,SK,YBA4310,SEKOLAH KEBANGSAAN BATU BUNGAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBA4310@moe.edu.my,Luar Bandar,SK,85,14,114.816549,4.053206,Primary,Marudi,P.220 Baram,N.78 Mulu
7,PPD BARAM,SK,YBB4354,SEKOLAH KEBANGSAAN BENAWA,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4354@moe.edu.my,Luar Bandar,SK,40,13,114.344869,4.031722,Primary,Marudi,P.220 Baram,N.76 Marudi
8,PPD BARAM,SK,YBE4301,SEKOLAH KEBANGSAAN DATO SHARIF HAMID,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",85756089,85756089,YBE4301@moe.edu.my,Luar Bandar,SK,246,33,114.314834,4.177832,Primary,Marudi,P.220 Baram,N.76 Marudi
9,PPD BARAM,SK,YCB4303,SEKOLAH KEBANGSAAN GOOD SHEPHERD,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",85755735,85755735,YCB4303@moe.edu.my,Luar Bandar,SBK,207,25,114.332013,4.177549,Primary,Marudi,P.220 Baram,N.76 Marudi
10,PPD BARAM,SK,YBB4364,SEKOLAH KEBANGSAAN KUALA BOK,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4364@moe.edu.my,Luar Bandar,SK,52,13,114.161999,3.779937,Primary,Beluru,P.220 Baram,N.76 Marudi
